id,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,vote_count,vote_average,comb
19995.0,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Action Adventure Fantasy Sci-Fi,avatar,11800.0,7.2,Sam Worthington Zoe Saldana Sigourney Weaver James Cameron Action Adventure Fantasy Sci-Fi
285.0,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Adventure Fantasy Action,pirates of the caribbean: at world's end,4500.0,6.9,Johnny Depp Orlando Bloom Keira Knightley Gore Verbinski Adventure Fantasy Action
206647.0,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,Action Adventure Crime,spectre,4466.0,6.3,Daniel Craig Christoph Waltz Léa Seydoux Sam Mendes Action Adventure Crime
49026.0,Christopher Nolan,Christian Bale,Michael Caine,Gary Oldman,Action Crime Drama Thriller,the dark knight rises,9106.0,7.6,Christian Bale Michael Caine Gary Oldman Christopher Nolan Action Crime Drama Thriller
49529.0,Andrew Stanton,Taylor Kitsch,Lynn Collins,Samantha Morton,Action Adventure Sci-Fi,john carter,2124.0,6.1,Taylor Kitsch Lynn Collins Samantha Morton Andrew Stanton Action Adventure Sci-Fi
559.0,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco,Fantasy Action Adventure,spider-man 3,3576.0,5.9,Tobey Maguire Kirsten Dunst James Franco Sam Raimi Fantasy Action Adventure
38757.0,Byron Howard Nathan Greno,Mandy Moore,Zachary Levi,Donna Murphy,Animation Family,tangled,3330.0,7.4,Mandy Moore Zachary Levi Donna Murphy Byron Howard Nathan Greno Animation Family
99861.0,Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Action Adventure Sci-Fi,avengers: age of ultron,6767.0,7.3,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Joss Whedon Action Adventure Sci-Fi
767.0,David Yates,Daniel Radcliffe,Rupert Grint,Emma Watson,Adventure Fantasy Family,harry potter and the half-blood prince,5293.0,7.4,Daniel Radcliffe Rupert Grint Emma Watson David Yates Adventure Fantasy Family
209112.0,Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,Action Adventure Fantasy,batman v superman: dawn of justice,7004.0,5.7,Ben Affleck Henry Cavill Gal Gadot Zack Snyder Action Adventure Fantasy
1452.0,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,Adventure Fantasy Action Sci-Fi,superman returns,1400.0,5.4,Brandon Routh Kevin Spacey Kate Bosworth Bryan Singer Adventure Fantasy Action Sci-Fi
10764.0,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Adventure Action Thriller Crime,quantum of solace,2965.0,6.1,Daniel Craig Olga Kurylenko Mathieu Amalric Marc Forster Adventure Action Thriller Crime
58.0,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Adventure Fantasy Action,pirates of the caribbean: dead man's chest,5246.0,7.0,Johnny Depp Orlando Bloom Keira Knightley Gore Verbinski Adventure Fantasy Action
57201.0,Gore Verbinski,Johnny Depp,Armie Hammer,William Fichtner,Action Adventure Western,the lone ranger,2311.0,5.9,Johnny Depp Armie Hammer William Fichtner Gore Verbinski Action Adventure Western
49521.0,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,Action Adventure Fantasy Sci-Fi,man of steel,6359.0,6.5,Henry Cavill Amy Adams Michael Shannon Zack Snyder Action Adventure Fantasy Sci-Fi
2454.0,Andrew Adamson,Ben Barnes,William Moseley,Anna Popplewell,Adventure Family Fantasy,the chronicles of narnia: prince caspian,1630.0,6.3,Ben Barnes William Moseley Anna Popplewell Andrew Adamson Adventure Family Fantasy
24428.0,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Sci-Fi Action Adventure,the avengers,11776.0,7.4,Robert Downey Jr. Chris Evans Mark Ruffalo Joss Whedon Sci-Fi Action Adventure
1865.0,Rob Marshall,Johnny Depp,Penélope Cruz,Ian McShane,Adventure Action Fantasy,pirates of the caribbean: on stranger tides,4948.0,6.4,Johnny Depp Penélope Cruz Ian McShane Rob Marshall Adventure Action Fantasy
41154.0,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,Action Comedy Sci-Fi,men in black 3,4160.0,6.2,Will Smith Tommy Lee Jones Josh Brolin Barry Sonnenfeld Action Comedy Sci-Fi
122917.0,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Action Adventure Fantasy,the hobbit: the battle of the five armies,4760.0,7.1,Martin Freeman Ian McKellen Richard Armitage Peter Jackson Action Adventure Fantasy
1930.0,Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans,Action Adventure Fantasy,the amazing spider-man,6586.0,6.5,Andrew Garfield Emma Stone Rhys Ifans Marc Webb Action Adventure Fantasy
20662.0,Ridley Scott,Russell Crowe,Cate Blanchett,Max von Sydow,Action Adventure,robin hood,1398.0,6.2,Russell Crowe Cate Blanchett Max von Sydow Ridley Scott Action Adventure
57158.0,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Adventure Fantasy,the hobbit: the desolation of smaug,4524.0,7.6,Martin Freeman Ian McKellen Richard Armitage Peter Jackson Adventure Fantasy
2268.0,Chris Weitz,Dakota Blue Richards,Nicole Kidman,Daniel Craig,Adventure Fantasy,the golden compass,1303.0,5.8,Dakota Blue Richards Nicole Kidman Daniel Craig Chris Weitz Adventure Fantasy
254.0,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,Adventure Drama Action,king kong,2337.0,6.6,Naomi Watts Jack Black Adrien Brody Peter Jackson Adventure Drama Action
597.0,James Cameron,Kate Winslet,Leonardo DiCaprio,Frances Fisher,Drama Romance Thriller,titanic,7562.0,7.5,Kate Winslet Leonardo DiCaprio Frances Fisher James Cameron Drama Romance Thriller
271110.0,Anthony Russo Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Adventure Action Sci-Fi,captain america: civil war,7241.0,7.1,Chris Evans Robert Downey Jr. Scarlett Johansson Anthony Russo Joe Russo Adventure Action Sci-Fi
44833.0,Peter Berg,Taylor Kitsch,Alexander Skarsgård,Rihanna,Thriller Action Adventure Sci-Fi,battleship,2114.0,5.5,Taylor Kitsch Alexander Skarsgård Rihanna Peter Berg Thriller Action Adventure Sci-Fi
135397.0,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Action Adventure Sci-Fi Thriller,jurassic world,8662.0,6.5,Chris Pratt Bryce Dallas Howard Irrfan Khan Colin Trevorrow Action Adventure Sci-Fi Thriller
37724.0,Sam Mendes,Daniel Craig,Judi Dench,Javier Bardem,Action Adventure Thriller,skyfall,7604.0,6.9,Daniel Craig Judi Dench Javier Bardem Sam Mendes Action Adventure Thriller
558.0,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco,Action Adventure Fantasy,spider-man 2,4321.0,6.7,Tobey Maguire Kirsten Dunst James Franco Sam Raimi Action Adventure Fantasy
68721.0,Shane Black,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Action Adventure Sci-Fi,iron man 3,8806.0,6.8,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Shane Black Action Adventure Sci-Fi
12155.0,Tim Burton,Mia Wasikowska,Johnny Depp,Anne Hathaway,Family Fantasy Adventure,alice in wonderland,4645.0,6.4,Mia Wasikowska Johnny Depp Anne Hathaway Tim Burton Family Fantasy Adventure
36668.0,Brett Ratner,Hugh Jackman,Halle Berry,Ian McKellen,Adventure Action Sci-Fi Thriller,x-men: the last stand,3525.0,6.3,Hugh Jackman Halle Berry Ian McKellen Brett Ratner Adventure Action Sci-Fi Thriller
62211.0,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi,Animation Family,monsters university,3528.0,7.0,Billy Crystal John Goodman Steve Buscemi Dan Scanlon Animation Family
8373.0,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Sci-Fi Action Adventure,transformers: revenge of the fallen,3138.0,6.0,Shia LaBeouf Megan Fox Josh Duhamel Michael Bay Sci-Fi Action Adventure
91314.0,Michael Bay,Mark Wahlberg,Stanley Tucci,Kelsey Grammer,Sci-Fi Action Adventure,transformers: age of extinction,3095.0,5.8,Mark Wahlberg Stanley Tucci Kelsey Grammer Michael Bay Sci-Fi Action Adventure
68728.0,Sam Raimi,James Franco,Mila Kunis,Rachel Weisz,Fantasy Adventure Family,oz: the great and powerful,3530.0,5.7,James Franco Mila Kunis Rachel Weisz Sam Raimi Fantasy Adventure Family
102382.0,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,Action Adventure Fantasy,the amazing spider-man 2,4179.0,6.5,Andrew Garfield Emma Stone Jamie Foxx Marc Webb Action Adventure Fantasy
20526.0,Joseph Kosinski,Garrett Hedlund,Jeff Bridges,Olivia Wilde,Adventure Action Sci-Fi,tron: legacy,2841.0,6.3,Garrett Hedlund Jeff Bridges Olivia Wilde Joseph Kosinski Adventure Action Sci-Fi
49013.0,John Lasseter Brad Lewis,Owen Wilson,Larry the Cable Guy,Michael Caine,Animation Family Adventure Comedy,cars 2,2033.0,5.8,Owen Wilson Larry the Cable Guy Michael Caine John Lasseter Brad Lewis Animation Family Adventure Comedy
44912.0,Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard,Adventure Action Thriller Sci-Fi,green lantern,2487.0,5.1,Ryan Reynolds Blake Lively Peter Sarsgaard Martin Campbell Adventure Action Thriller Sci-Fi
10193.0,Lee Unkrich,Tom Hanks,Tim Allen,Ned Beatty,Animation Family Comedy,toy story 3,4597.0,7.6,Tom Hanks Tim Allen Ned Beatty Lee Unkrich Animation Family Comedy
534.0,McG,Christian Bale,Sam Worthington,Anton Yelchin,Action Sci-Fi Thriller,terminator salvation,2463.0,5.9,Christian Bale Sam Worthington Anton Yelchin McG Action Sci-Fi Thriller
168259.0,James Wan,Vin Diesel,Paul Walker,Dwayne Johnson,Action,furious 7,4176.0,7.3,Vin Diesel Paul Walker Dwayne Johnson James Wan Action
72190.0,Marc Forster,Brad Pitt,Mireille Enos,Abigail Hargrove,Action Drama Horror Sci-Fi Thriller,world war z,5560.0,6.7,Brad Pitt Mireille Enos Abigail Hargrove Marc Forster Action Drama Horror Sci-Fi Thriller
127585.0,Bryan Singer,Hugh Jackman,James McAvoy,Michael Fassbender,Action Adventure Fantasy Sci-Fi,x-men: days of future past,6032.0,7.5,Hugh Jackman James McAvoy Michael Fassbender Bryan Singer Action Adventure Fantasy Sci-Fi
54138.0,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Action Adventure Sci-Fi,star trek into darkness,4418.0,7.4,Chris Pine Zachary Quinto Zoe Saldana J.J. Abrams Action Adventure Sci-Fi
81005.0,Bryan Singer,Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Action Family Fantasy,jack the giant slayer,2598.0,5.5,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Bryan Singer Action Family Fantasy
64682.0,Baz Luhrmann,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Drama Romance,the great gatsby,3769.0,7.3,Leonardo DiCaprio Tobey Maguire Carey Mulligan Baz Luhrmann Drama Romance
9543.0,Mike Newell,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Adventure Fantasy Action Romance,prince of persia: the sands of time,2317.0,6.2,Jake Gyllenhaal Gemma Arterton Ben Kingsley Mike Newell Adventure Fantasy Action Romance
68726.0,Guillermo del Toro,Idris Elba,Charlie Hunnam,Charlie Day,Action Sci-Fi Adventure,pacific rim,4794.0,6.7,Idris Elba Charlie Hunnam Charlie Day Guillermo del Toro Action Sci-Fi Adventure
38356.0,Michael Bay,Shia LaBeouf,John Malkovich,Ken Jeong,Action Sci-Fi Adventure,transformers: dark of the moon,3299.0,6.1,Shia LaBeouf John Malkovich Ken Jeong Michael Bay Action Sci-Fi Adventure
217.0,Steven Spielberg,Harrison Ford,Cate Blanchett,Shia LaBeouf,Adventure Action,indiana jones and the kingdom of the crystal skull,2495.0,5.7,Harrison Ford Cate Blanchett Shia LaBeouf Steven Spielberg Adventure Action
105864.0,Peter Sohn,Raymond Ochoa,Jack Bright,Jeffrey Wright,Adventure Animation Family,the good dinosaur,1736.0,6.6,Raymond Ochoa Jack Bright Jeffrey Wright Peter Sohn Adventure Animation Family
62177.0,Brenda Chapman Mark Andrews Steve Purcell,Kelly Macdonald,Billy Connolly,Emma Thompson,Animation Adventure Comedy Family Action Fantasy,brave,4641.0,6.7,Kelly Macdonald Billy Connolly Emma Thompson Brenda Chapman Mark Andrews Steve Purcell Animation Adventure Comedy Family Action Fantasy
188927.0,Justin Lin,Chris Pine,Zachary Quinto,Karl Urban,Action Adventure Sci-Fi,star trek beyond,2568.0,6.6,Chris Pine Zachary Quinto Karl Urban Justin Lin Action Adventure Sci-Fi
10681.0,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Animation Family,wall·e,6296.0,7.8,Ben Burtt Elissa Knight Jeff Garlin Andrew Stanton Animation Family
5174.0,Brett Ratner,Chris Tucker,Jackie Chan,Hiroyuki Sanada,Action Comedy Crime Thriller,rush hour 3,783.0,6.1,Chris Tucker Jackie Chan Hiroyuki Sanada Brett Ratner Action Comedy Crime Thriller
14161.0,Roland Emmerich,John Cusack,Amanda Peet,Chiwetel Ejiofor,Action Adventure Sci-Fi,2012,4903.0,5.6,John Cusack Amanda Peet Chiwetel Ejiofor Roland Emmerich Action Adventure Sci-Fi
17979.0,Robert Zemeckis,Gary Oldman,Jim Carrey,Steve Valentine,Animation Drama,a christmas carol,1095.0,6.6,Gary Oldman Jim Carrey Steve Valentine Robert Zemeckis Animation Drama
76757.0,Lilly Wachowski Lana Wachowski,Mila Kunis,Channing Tatum,Sean Bean,Sci-Fi Fantasy Action Adventure,jupiter ascending,2768.0,5.2,Mila Kunis Channing Tatum Sean Bean Lilly Wachowski Lana Wachowski Sci-Fi Fantasy Action Adventure
258489.0,David Yates,Alexander Skarsgård,Margot Robbie,Christoph Waltz,Action Adventure,the legend of tarzan,2430.0,5.5,Alexander Skarsgård Margot Robbie Christoph Waltz David Yates Action Adventure
411.0,Andrew Adamson,William Moseley,Anna Popplewell,Skandar Keynes,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",2629.0,6.7,William Moseley Anna Popplewell Skandar Keynes Andrew Adamson Adventure Family Fantasy
246655.0,Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence,Sci-Fi,x-men: apocalypse,4721.0,6.4,James McAvoy Michael Fassbender Jennifer Lawrence Bryan Singer Sci-Fi
155.0,Christopher Nolan,Christian Bale,Michael Caine,Heath Ledger,Drama Action Crime Thriller,the dark knight,12002.0,8.2,Christian Bale Michael Caine Heath Ledger Christopher Nolan Drama Action Crime Thriller
