id,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,vote_count,vote_average,comb
19995,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Action Adventure Fantasy Sci-Fi,avatar,11800,7.2,Sam Worthington Zoe Saldana Sigourney Weaver James Cameron Action Adventure Fantasy Sci-Fi
285,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Adventure Fantasy Action,pirates of the caribbean: at world's end,4500,6.9,Johnny Depp Orlando Bloom Keira Knightley Gore Verbinski Adventure Fantasy Action
206647,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,Action Adventure Crime,spectre,4466,6.3,Daniel Craig Christoph Waltz Léa Seydoux Sam Mendes Action Adventure Crime
49026,Christopher Nolan,Christian Bale,Michael Caine,Gary Oldman,Action Crime Drama Thriller,the dark knight rises,9106,7.6,Christian Bale Michael Caine Gary Oldman Christopher Nolan Action Crime Drama Thriller
49529,Andrew Stanton,Taylor Kitsch,Lynn Collins,Samantha Morton,Action Adventure Sci-Fi,john carter,2124,6.1,Taylor Kitsch Lynn Collins Samantha Morton Andrew Stanton Action Adventure Sci-Fi
559,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco,Fantasy Action Adventure,spider-man 3,3576,5.9,Tobey Maguire Kirsten Dunst James Franco Sam Raimi Fantasy Action Adventure
38757,Byron Howard Nathan Greno,Mandy Moore,Zachary Levi,Donna Murphy,Animation Family,tangled,3330,7.4,Mandy Moore Zachary Levi Donna Murphy Byron Howard Nathan Greno Animation Family
99861,Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Action Adventure Sci-Fi,avengers: age of ultron,6767,7.3,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Joss Whedon Action Adventure Sci-Fi
767,David Yates,Daniel Radcliffe,Rupert Grint,Emma Watson,Adventure Fantasy Family,harry potter and the half-blood prince,5293,7.4,Daniel Radcliffe Rupert Grint Emma Watson David Yates Adventure Fantasy Family
209112,Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,Action Adventure Fantasy,batman v superman: dawn of justice,7004,5.7,Ben Affleck Henry Cavill Gal Gadot Zack Snyder Action Adventure Fantasy
1452,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,Adventure Fantasy Action Sci-Fi,superman returns,1400,5.4,Brandon Routh Kevin Spacey Kate Bosworth Bryan Singer Adventure Fantasy Action Sci-Fi
10764,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Adventure Action Thriller Crime,quantum of solace,2965,6.1,Daniel Craig Olga Kurylenko Mathieu Amalric Marc Forster Adventure Action Thriller Crime
58,Gore Verbinski,Johnny Depp,Orlando Bloom,Keira Knightley,Adventure Fantasy Action,pirates of the caribbean: dead man's chest,5246,7,Johnny Depp Orlando Bloom Keira Knightley Gore Verbinski Adventure Fantasy Action
57201,Gore Verbinski,Johnny Depp,Armie Hammer,William Fichtner,Action Adventure Western,the lone ranger,2311,5.9,Johnny Depp Armie Hammer William Fichtner Gore Verbinski Action Adventure Western
49521,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,Action Adventure Fantasy Sci-Fi,man of steel,6359,6.5,Henry Cavill Amy Adams Michael Shannon Zack Snyder Action Adventure Fantasy Sci-Fi
2454,Andrew Adamson,Ben Barnes,William Moseley,Anna Popplewell,Adventure Family Fantasy,the chronicles of narnia: prince caspian,1630,6.3,Ben Barnes William Moseley Anna Popplewell Andrew Adamson Adventure Family Fantasy
24428,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Sci-Fi Action Adventure,the avengers,11776,7.4,Robert Downey Jr. Chris Evans Mark Ruffalo Joss Whedon Sci-Fi Action Adventure
1865,Rob Marshall,Johnny Depp,Penélope Cruz,Ian McShane,Adventure Action Fantasy,pirates of the caribbean: on stranger tides,4948,6.4,Johnny Depp Penélope Cruz Ian McShane Rob Marshall Adventure Action Fantasy
41154,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,Action Comedy Sci-Fi,men in black 3,4160,6.2,Will Smith Tommy Lee Jones Josh Brolin Barry Sonnenfeld Action Comedy Sci-Fi
122917,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Action Adventure Fantasy,the hobbit: the battle of the five armies,4760,7.1,Martin Freeman Ian McKellen Richard Armitage Peter Jackson Action Adventure Fantasy
1930,Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans,Action Adventure Fantasy,the amazing spider-man,6586,6.5,Andrew Garfield Emma Stone Rhys Ifans Marc Webb Action Adventure Fantasy
20662,Ridley Scott,Russell Crowe,Cate Blanchett,Max von Sydow,Action Adventure,robin hood,1398,6.2,Russell Crowe Cate Blanchett Max von Sydow Ridley Scott Action Adventure
57158,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Adventure Fantasy,the hobbit: the desolation of smaug,4524,7.6,Martin Freeman Ian McKellen Richard Armitage Peter Jackson Adventure Fantasy
2268,Chris Weitz,Dakota Blue Richards,Nicole Kidman,Daniel Craig,Adventure Fantasy,the golden compass,1303,5.8,Dakota Blue Richards Nicole Kidman Daniel Craig Chris Weitz Adventure Fantasy
254,Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,Adventure Drama Action,king kong,2337,6.6,Naomi Watts Jack Black Adrien Brody Peter Jackson Adventure Drama Action
597,James Cameron,Kate Winslet,Leonardo DiCaprio,Frances Fisher,Drama Romance Thriller,titanic,7562,7.5,Kate Winslet Leonardo DiCaprio Frances Fisher James Cameron Drama Romance Thriller
271110,Anthony Russo Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Adventure Action Sci-Fi,captain america: civil war,7241,7.1,Chris Evans Robert Downey Jr. Scarlett Johansson Anthony Russo Joe Russo Adventure Action Sci-Fi
44833,Peter Berg,Taylor Kitsch,Alexander Skarsgård,Rihanna,Thriller Action Adventure Sci-Fi,battleship,2114,5.5,Taylor Kitsch Alexander Skarsgård Rihanna Peter Berg Thriller Action Adventure Sci-Fi
135397,Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Action Adventure Sci-Fi Thriller,jurassic world,8662,6.5,Chris Pratt Bryce Dallas Howard Irrfan Khan Colin Trevorrow Action Adventure Sci-Fi Thriller
37724,Sam Mendes,Daniel Craig,Judi Dench,Javier Bardem,Action Adventure Thriller,skyfall,7604,6.9,Daniel Craig Judi Dench Javier Bardem Sam Mendes Action Adventure Thriller
558,Sam Raimi,Tobey Maguire,Kirsten Dunst,James Franco,Action Adventure Fantasy,spider-man 2,4321,6.7,Tobey Maguire Kirsten Dunst James Franco Sam Raimi Action Adventure Fantasy
68721,Shane Black,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Action Adventure Sci-Fi,iron man 3,8806,6.8,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Shane Black Action Adventure Sci-Fi
12155,Tim Burton,Mia Wasikowska,Johnny Depp,Anne Hathaway,Family Fantasy Adventure,alice in wonderland,4645,6.4,Mia Wasikowska Johnny Depp Anne Hathaway Tim Burton Family Fantasy Adventure
36668,Brett Ratner,Hugh Jackman,Halle Berry,Ian McKellen,Adventure Action Sci-Fi Thriller,x-men: the last stand,3525,6.3,Hugh Jackman Halle Berry Ian McKellen Brett Ratner Adventure Action Sci-Fi Thriller
62211,Dan Scanlon,Billy Crystal,John Goodman,Steve Buscemi,Animation Family,monsters university,3528,7,Billy Crystal John Goodman Steve Buscemi Dan Scanlon Animation Family
8373,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Sci-Fi Action Adventure,transformers: revenge of the fallen,3138,6,Shia LaBeouf Megan Fox Josh Duhamel Michael Bay Sci-Fi Action Adventure
91314,Michael Bay,Mark Wahlberg,Stanley Tucci,Kelsey Grammer,Sci-Fi Action Adventure,transformers: age of extinction,3095,5.8,Mark Wahlberg Stanley Tucci Kelsey Grammer Michael Bay Sci-Fi Action Adventure
68728,Sam Raimi,James Franco,Mila Kunis,Rachel Weisz,Fantasy Adventure Family,oz: the great and powerful,3530,5.7,James Franco Mila Kunis Rachel Weisz Sam Raimi Fantasy Adventure Family
102382,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,Action Adventure Fantasy,the amazing spider-man 2,4179,6.5,Andrew Garfield Emma Stone Jamie Foxx Marc Webb Action Adventure Fantasy
20526,Joseph Kosinski,Garrett Hedlund,Jeff Bridges,Olivia Wilde,Adventure Action Sci-Fi,tron: legacy,2841,6.3,Garrett Hedlund Jeff Bridges Olivia Wilde Joseph Kosinski Adventure Action Sci-Fi
